Customer Name,Email,Location,Model,Range(km),Vehicle Type,Launch Date,Description,Cost,Price (NPR),Units Sold,Sale Date,Payment Method,Sale Month number,Sale Month Name,Sale Year,Total Revenue,Profit
Melissa Vazquez,danielsbenjamin@herrera.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-18,EMI,9,September,2023,12345000,9564375
James Hughes,obradley@morgan.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-23,EMI,9,September,2023,0,-2780625
Thomas Montgomery,marissaroberts@sanchez.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-20,Full Cash,9,September,2023,8230000,5449375
Lisa Navarro,kevin29@wade-williams.net,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-12-16,Full Cheque,12,December,2022,0,-4585500
Jennifer Russell,ochristian@gmail.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,1,2024-12-27,EMI,12,December,2024,5890000,1910250
Jonathan Sanchez,salaskenneth@fields.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2021-05-11,EMI,5,May,2021,5900000,1917500
Linda Meyer,beckdeborah@lewis-robbins.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-19,EMI,9,September,2023,4115000,1334375
Lynn Wang,nortonjames@gmail.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-05-04,EMI,5,May,2021,17700000,13717500
Jeremiah Smith,littlesean@cuevas-jenkins.net,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-01-01,EMI,1,January,2023,20340000,15754500
James Duncan,ronniecarter@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2023-01-23,EMI,1,January,2023,27120000,22534500
Laura Scott,ryan13@osborn.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-02-20,Full Cash,2,February,2023,13560000,8974500
Melissa Hancock,sharon83@brown-mcgrath.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-15,Full Cash,9,September,2023,4115000,1334375
Hannah Martin,kinglarry@stephens.biz,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-02-01,EMI,2,February,2024,13560000,8974500
David Williams,dylan35@rivera.info,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-04-03,EMI,4,April,2023,6780000,2194500
Tammy Cross,wilsonmaureen@chase.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-03-02,EMI,3,March,2024,13560000,8974500
Wendy Taylor,amber05@mccarthy.net,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-04-18,Full Cash,4,April,2021,17700000,13717500
James Baker,tamarathomas@friedman.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2024-06-13,Full Cash,6,June,2024,27120000,22534500
Andrea Jones,jsparks@rangel.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-02-06,EMI,2,February,2024,13560000,8974500
Valerie Miller,hlong@williams.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2021-06-18,EMI,6,June,2021,5900000,1917500
Kelsey Gill,blairwilliam@sampson.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2024-04-18,EMI,4,April,2024,27120000,22534500
Angela Snyder,kelly43@cruz-good.biz,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-07-17,EMI,7,July,2023,6780000,2194500
Tyler Rogers,kaitlyngardner@kim.info,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-10-07,Full Cash,10,October,2023,0,-2780625
Tyler Williams,nelsontina@beck.org,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-04-15,EMI,4,April,2024,20340000,15754500
Timothy Myers,ashley19@hotmail.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2022-09-04,Full Cash,9,September,2022,5900000,1917500
Philip Edwards,xwilson@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-04-17,EMI,4,April,2024,6780000,2194500
Suzanne Wilson,scott05@gonzalez-clayton.net,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,0,2024-01-27,EMI,1,January,2024,0,-7425000
Christine Owens,coxrandy@thompson.biz,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-18,EMI,9,September,2023,0,-2780625
Shane Dalton,hannahduran@gmail.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,4,2021-11-21,Full Cash,11,November,2021,23600000,19617500
Carlos Charles,noliver@day-galvan.net,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-23,EMI,9,September,2023,4115000,1334375
Jeremy Gordon,larrybrooks@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2024-06-15,EMI,6,June,2024,27120000,22534500
Steven Mayo,julielee@khan.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,0,2024-12-28,Full Cash,12,December,2024,0,-3979750
Eric Gilbert,markflores@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-19,EMI,9,September,2023,4115000,1334375
Jeffrey Vazquez,shawscott@johnson.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,4,2023-09-18,EMI,9,September,2023,16460000,13679375
Zachary Jordan,courtney42@mora.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-24,EMI,1,January,2024,19500000,6337500
Brenda Michael,ghouse@gmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2023-03-24,EMI,3,March,2023,27120000,22534500
Elizabeth Perez,darius03@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-27,Full Cheque,9,September,2023,4115000,1334375
Lisa Powell,barnesstanley@white.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-08-31,EMI,8,August,2023,6780000,2194500
Mark Johnson,emily19@hotmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-26,Full Cash,1,January,2024,19500000,6337500
Beth Williams,kingcarl@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-07-18,EMI,7,July,2023,13560000,8974500
Stacy James,christopher20@williams.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-09-24,EMI,9,September,2023,20340000,15754500
Laura Harrison,amanda30@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-04-25,EMI,4,April,2023,6780000,2194500
John Obrien,dduran@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2024-02-27,EMI,2,February,2024,27120000,22534500
James Munoz,gharrell@tucker.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-02-02,Full Cheque,2,February,2023,20340000,15754500
Michael Bridges,pcarroll@gmail.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,4,2024-12-28,EMI,12,December,2024,23560000,19580250
Elizabeth Perez,darius03@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-13,Full Cheque,9,September,2023,8230000,5449375
Lisa Jarvis,nealsusan@taylor.org,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-05-16,Full Cheque,5,May,2024,0,-4585500
Gail Stokes,jasmine74@gmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,4,2024-01-26,EMI,1,January,2024,44000000,36575000
Eric Huynh,liujacob@yahoo.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-26,EMI,9,September,2023,0,-2780625
Michael Warner,blackdavid@andrews-scott.biz,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-10-19,EMI,10,October,2023,13560000,8974500
Becky Dean,zroberson@gmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-22,EMI,1,January,2024,19500000,6337500
Miss Crystal Foster,ppark@lewis-york.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2024-01-18,EMI,1,January,2024,4115000,1334375
Marvin Fernandez,devinsmith@wilson-miller.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-02-22,EMI,2,February,2023,6780000,2194500
David Jones,glee@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-16,Full Cheque,9,September,2023,8230000,5449375
Craig Wallace,zphillips@bass.biz,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-28,EMI,9,September,2023,0,-2780625
James Smith,veronica64@mcgee.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-10-14,EMI,10,October,2023,6780000,2194500
Ruth Fisher,cgould@yahoo.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-21,EMI,9,September,2023,12345000,9564375
Paula Kirk,thomas87@mitchell.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-20,EMI,9,September,2023,4115000,1334375
John Aguilar,omurphy@richmond.info,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-14,EMI,9,September,2023,4115000,1334375
William Rivas,michael19@thomas-charles.biz,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-11-05,EMI,11,November,2022,6780000,2194500
Robert Goodman,lopezpatrick@martinez.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-27,Full Cash,9,September,2023,8230000,5449375
Joseph Kane,deniseadams@torres.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,1,2024-12-27,EMI,12,December,2024,5890000,1910250
Stephanie Armstrong,mark14@gmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,0,2024-01-24,EMI,1,January,2024,0,-7425000
Brenda Brown,jane91@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2023-10-24,EMI,10,October,2023,27120000,22534500
Eric Edwards,christophercarter@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-08-15,EMI,8,August,2024,6780000,2194500
Jeffrey Webster,elliottjames@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-12-05,Full Cash,12,December,2023,0,-4585500
Christine Larsen,scottdennis@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2022-12-19,Full Cheque,12,December,2022,0,-4585500
Debbie Barker,james44@chambers-lewis.org,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2022-09-13,EMI,9,September,2022,17700000,13717500
Kathleen Walker,beckerjonathan@yahoo.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-20,EMI,9,September,2023,8230000,5449375
Susan Soto,xlara@yahoo.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-27,EMI,12,December,2024,17670000,13690250
Anna Jacobs,colondiane@yahoo.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-03-29,Full Cheque,3,March,2021,0,-3982500
Travis Morales,barbara39@hotmail.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2023-12-19,EMI,12,December,2023,11800000,7817500
Eric Gilbert,markflores@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-17,EMI,9,September,2023,4115000,1334375
Cynthia English,rosalesjoseph@walker.net,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-06-16,EMI,6,June,2024,0,-4585500
Matthew White,leslie44@hansen.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,1,2024-01-23,EMI,1,January,2024,11000000,3575000
Brian Jackson,deborah50@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-16,EMI,9,September,2023,0,-2780625
Megan Smith MD,stevenklein@oneal.info,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-07-10,EMI,7,July,2024,6780000,2194500
Charles Joseph,alin@hernandez.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-09-03,EMI,9,September,2023,6780000,2194500
Linda Hernandez,ibarrasandra@wilkerson.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-03-25,Full Cheque,3,March,2023,13560000,8974500
Amanda Alexander,christinabryan@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2024-02-25,Full Cheque,2,February,2024,13560000,8974500
Christopher Gamble,terri01@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-19,EMI,9,September,2023,0,-2780625
Terri Reed,amanda45@gmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-02-17,EMI,2,February,2023,13560000,8974500
John Garcia,yholmes@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-08-27,EMI,8,August,2023,20340000,15754500
Jeffery Thomas,cburns@martin.org,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,3,2024-01-26,EMI,1,January,2024,58500000,45337500
Karen Villarreal,jasonward@hotmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,2,2024-01-23,EMI,1,January,2024,22000000,14575000
Andrea Jackson,travispaula@long.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,1,2022-04-12,EMI,4,April,2022,5900000,1917500
Mary Coleman,jason74@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-11-05,Full Cheque,11,November,2022,6780000,2194500
Rebecca Anthony,danielmendoza@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,3,2023-09-18,Full Cash,9,September,2023,12345000,9564375
Ashley Shaffer,marissa69@hernandez-armstrong.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-09-20,EMI,9,September,2023,20340000,15754500
Eugene Kramer,james12@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-02-06,EMI,2,February,2024,6780000,2194500
Crystal Cook,april76@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-06-12,EMI,6,June,2024,6780000,2194500
Natasha Rodriguez,lynchstacey@griffin.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2023-09-17,EMI,9,September,2023,0,-4585500
Joseph Buckley,caitlyn98@hotmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-26,EMI,9,September,2023,4115000,1334375
Mary Terry,llong@cook-williams.info,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-25,EMI,9,September,2023,4115000,1334375
Christine Strickland,richard35@weber.info,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,0,2024-12-27,Full Cash,12,December,2024,0,-3979750
Kevin Williams,christopherwilkerson@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-07-16,EMI,7,July,2024,20340000,15754500
Charles Roberson,lindsay46@griffin-gentry.info,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2024-05-01,EMI,5,May,2024,27120000,22534500
Lauren Johnson,nicholas91@hotmail.com,Lalitpur,BYD M6,400,MPV,12/26/2024,"Family MPV, Spacious, Practical",3979750,5890000,3,2024-12-27,EMI,12,December,2024,17670000,13690250
Crystal Beard,justinsmith@vaughn.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-02-09,EMI,2,February,2024,6780000,2194500
Richard Thompson,tanyaherman@vargas-oconnor.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-06-08,EMI,6,June,2023,6780000,2194500
Brendan White,daniellesweeney@thompson.org,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,0,2023-09-20,Full Cash,9,September,2023,0,-2780625
Timothy Hamilton,gmosley@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,0,2024-08-24,EMI,8,August,2024,0,-4585500
Michelle Stout,nguyentaylor@phillips-stone.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,2,2023-07-18,EMI,7,July,2023,11800000,7817500
Hannah Martin,kinglarry@stephens.biz,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2022-12-08,EMI,12,December,2022,6780000,2194500
Shannon Lloyd,nicholas91@hotmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,4,2024-01-24,Full Cash,1,January,2024,78000000,64837500
Walter Anderson,adamsdeborah@berry.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2023-11-01,Full Cash,11,November,2023,20340000,15754500
Brittany Wang,marymoran@yahoo.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2022-05-07,EMI,5,May,2022,0,-3982500
Tracey Reid,vincent37@cunningham.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,3,2024-05-09,EMI,5,May,2024,20340000,15754500
Laura Roberson,kylecain@schneider.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-20,Full Cheque,9,September,2023,4115000,1334375
Brandon Horton,mayjames@johnson.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-02-14,EMI,2,February,2024,6780000,2194500
Karla Ewing,tracey83@hotmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-09-19,EMI,9,September,2023,4115000,1334375
Cameron Castillo,lisa83@gmail.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,4,2024-01-26,Full Cheque,1,January,2024,44000000,36575000
Bradley Johnson,gonzalesmark@smith-jones.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Luxury Sports Sedan, 390 kW Motor, Fast Acceleration",13162500,19500000,1,2024-01-22,EMI,1,January,2024,19500000,6337500
Donald Richardson,pbecker@gmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,2,2023-06-18,EMI,6,June,2023,13560000,8974500
Melinda Martin,xhampton@gmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2023-10-21,EMI,10,October,2023,6780000,2194500
John Wyatt,cory60@williams.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,1,2023-12-24,EMI,12,December,2023,4115000,1334375
Angel Estes,bhenderson@yahoo.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,0,2021-05-10,EMI,5,May,2021,0,-3982500
Alexandra Brown,fbrown@hotmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2023-12-19,Full Cash,12,December,2023,27120000,22534500
Rebekah Dougherty,echan@molina.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-03-20,EMI,3,March,2024,6780000,2194500
Samantha Pace,brianwilson@gmail.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-21,Full Cash,9,September,2023,8230000,5449375
Megan Dalton,amandaaustin@yahoo.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-04-07,EMI,4,April,2024,6780000,2194500
Brian Ramos,hcameron@gmail.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,4,2023-06-10,Full Cash,6,June,2023,27120000,22534500
Manuel Jackson,irangel@gmail.com,Lalitpur,BYD e6,522,MPV,3/14/2021,"Commercial MPV, Long Range, Comfortable Ride",3982500,5900000,3,2021-04-20,Full Cash,4,April,2021,17700000,13717500
David Mclean,ericbell@yahoo.com,Lalitpur,BYD Seal,520,Sedan,1/22/2024,"Premium Sedan, High Performance, Stylish",7425000,11000000,3,2024-01-22,EMI,1,January,2024,33000000,25575000
Cole Weaver,james68@smith.com,Lalitpur,BYD Atto 3,420,SUV,10/16/2022,"Luxury SUV, Advanced Tech, Spacious Interior",4585500,6780000,1,2024-07-01,EMI,7,July,2024,6780000,2194500
Paul Smith,oneilldaniel@woods.info,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,4,2023-09-23,EMI,9,September,2023,16460000,13679375
Andrew Nicholson,marshallhannah@yahoo.com,Lalitpur,BYD Dolphin,340,Hatchback,9/11/2023,"Budget-Friendly Hatchback, Compact, Efficient",2780625,4115000,2,2023-09-24,EMI,9,September,2023,8230000,5449375
